Id,ra_rad,dec_rad,r_thing,d_thing
A1314,3.030878565154159,0.8570648731428395,-0.38,-0.07
A1367,3.0772917061133787,0.3490533950946584,0.15,0.05
A194,0.36027259263563843,-0.011419396530892113,-0.15,-0.14
A2199/7,-1.9681720950188257,0.6983459155288047,0.04,-0.07
A2634,-0.09890510095684935,0.4688502753307746,0.04,0.08
A400,0.7599663696976744,0.10037250647208482,0.09,-0.03
A496,1.1858109022582866,-0.22476389377091147,-0.03,0.025
A569,1.8759263058016085,0.8579124632052495,-0.22,-0.18
A634,2.154270774955605,1.0133545116252347,0.02,0.02
A779,2.464426830662964,0.5829973547547228,-0.48,-0.04
Cancer,2.1785810193023454,0.3749087963525945,0.2,-0.0
Coma,-2.8857948053025875,0.4913572680493787,0.2,0.05
N383,0.25460266391710934,0.547477373093084,-0.0,0.04
N507,0.3689460668769386,0.5911390657263874,0.0,0.03
Pegasus,-0.17107384820449933,0.16653247016438724,0.04,-0.06
UrsaMajor,3.1126997750205776,0.8732130992052624,0.06,-0.04
