ppxf_sigma,veldisp,ppxf_sigma_error,veldispErr,sigmaStars,sigmaStarsErr
138.97191401554343,123.3125,1.3838325204676758,2.796156,131.1962,2.44662
149.06290730230126,129.3472,1.54183107539427,3.885587,133.2321,3.595464
270.979717906654,251.3085,1.6678398325066528,3.608889,249.9983,3.095356
201.42881498440477,186.167,1.7040928354747942,3.728426,203.6375,3.266631
189.8262316355282,180.251,2.43850249975406,4.895857,198.6001,4.244899
94.95865632925292,95.16629,1.17384156106714,3.264127,98.58618,2.877252
300.73348887123257,259.435,2.025945605362457,4.771413,282.3811,4.418844
186.68325604419243,178.691,1.9510534854103,4.711245,192.7838,4.209323
150.80153082664046,144.7708,1.962831228690216,3.876744,158.1496,3.377737
206.586169459352,183.7329,2.1787781594543416,3.183155,204.009,2.771846
179.6489200775255,168.0166,2.40976579069134,5.598728,176.5698,4.872259
169.28671017726927,155.1017,1.9319252264013864,2.51716,166.4137,2.27772
180.4763019748921,181.3842,2.1088623571866085,4.578179,191.7929,4.032908
191.31296963096716,195.6804,1.9744411988882968,3.574422,201.8907,3.079897
96.38827884369688,103.2588,1.4934336492510691,2.766157,101.1952,2.554357
182.04248146161183,173.1174,1.9138663602734916,3.461317,178.807,2.980966
178.73010993075337,174.1855,2.79608865395674,4.355883,186.948,3.837109
230.20066445531356,225.4049,1.8740903452320852,3.010025,235.1021,2.56047
230.25553071620612,214.6877,3.0758527015529324,4.094929,227.2749,3.435669
170.23876998439042,156.7187,2.59240753971842,2.849426,170.2182,2.555097
164.3289867050221,159.6352,2.5110174852969944,3.193091,174.7744,2.770874
164.7846069412232,160.9036,2.0670144353227333,2.791091,170.4869,2.474648
239.75568081709608,224.5687,1.8845924613284,3.967766,239.8611,3.496845
123.43430031924612,117.7106,1.8633059875647209,2.699928,124.3722,2.329412
183.5362772230472,184.406,1.9817183124442217,4.270422,183.6568,3.510293
99.3083001618406,101.6176,1.4337353917183235,4.200868,109.0473,3.877479
203.226169957712,186.9697,2.786018302446841,3.384877,197.053,3.017425
209.3383992440732,187.6927,2.8655581404465167,4.301363,203.9442,3.533321
204.58358697255488,200.522,2.100209242467451,3.798903,210.3796,3.362795
165.84674208204925,152.8528,2.838369836913329,3.877646,166.0221,3.485105
144.88784262805746,147.8768,2.549815472551788,3.525953,147.7372,3.079749
168.1774200045545,154.4705,2.5941231349765794,3.652516,154.278,3.275829
207.01430453951613,192.0732,1.5147016575436274,4.256324,202.6248,3.583932
219.5381852618741,204.0814,2.7802151172129266,3.246074,211.0524,2.861833
141.70392920305227,135.0106,2.3223204360838765,3.768463,142.8765,3.567386
198.0491463597462,187.834,2.9617189530880523,3.408733,202.4963,2.835441
128.68338623977084,132.3374,2.187869748537096,3.96545,133.5986,3.596626
228.20929600399697,215.7701,3.0646092091844195,4.026091,223.3567,3.215409
114.73514789631264,108.3882,2.1841429889291866,3.130047,114.8225,2.896739
128.86337802044648,118.2962,2.33730909645735,4.051763,120.8822,3.525009
147.1853887129694,143.5069,2.6720578436945908,3.264718,154.9151,2.755751
188.57979891079324,169.2633,2.812202913153492,3.239829,184.5811,2.802392
195.7631866702801,186.1314,2.8860859325690216,3.288884,198.095,2.911626
210.15561292366996,190.8344,2.646468200807554,3.389893,207.6825,2.76511
283.8146284818678,263.9836,3.683300221801212,4.070212,278.5858,3.308087
114.283987898325,109.7724,2.6215161328890035,4.306513,112.8198,4.173387
163.10872639491944,162.2214,2.3993289215983267,4.293048,174.9118,3.860692
185.15714322611836,172.2997,2.8279675387153382,3.608607,182.255,3.032814
127.60622743335978,131.3537,3.1369494939930127,4.265446,136.7317,4.003534
144.2026964430488,130.8486,2.598644426632136,3.329986,143.8093,2.864941
89.13989866649788,81.06046,1.6816162268640764,4.242036,91.74336,3.662089
127.18581892835525,130.4691,1.474595776389232,2.461659,131.578,2.190444
162.356476084887,160.2036,2.818733425312615,3.267782,172.5053,2.889555
110.21940348839702,108.3283,1.9668842384520089,3.125461,111.6054,2.882694
181.3914068151584,166.4389,2.9815043947179904,3.373726,181.8988,2.775838
152.4153870511561,154.1452,2.743828067587284,3.439099,157.9148,3.076448
192.86170384641892,172.3774,2.923915891380698,3.142291,188.5282,2.650496
197.08949583547704,188.201,3.2624982928916952,3.402704,199.8773,2.699144
215.72956065258603,200.2215,3.4080537400659,3.625833,212.1327,3.123086
189.3506395963687,187.227,1.9524319074677647,4.474098,206.6216,4.001015
252.3948646686948,254.0398,4.612573987130385,5.01355,262.0081,4.407292
206.22441797691863,194.2651,3.692834472860818,4.296448,204.0558,3.633927
180.9736881943178,182.2387,3.066454409605361,3.913337,192.0842,3.383143
138.41571156459153,135.0421,2.869328458258562,3.44169,145.6301,3.157365
128.53997222267904,129.1858,2.342986362321276,3.316174,129.9441,3.099495
275.2017152627172,254.2458,3.8161613665972416,3.556643,260.0017,3.058818
126.88159121954982,124.9369,2.478144079657505,2.85472,132.6735,2.508862
166.8351788154532,160.3199,3.8702547727313714,3.006868,169.9528,2.777719
89.5326184883036,92.32619,2.1434381315116604,3.098915,90.80775,2.709207
139.5504243982719,135.8632,2.644232250225212,2.837517,140.4455,2.45588
235.9660641699141,205.2726,4.644393883335259,3.814492,222.6817,3.350896
214.65859836827664,204.4098,3.0491772168223563,4.283514,222.5993,3.846775
243.4018257203755,232.7268,4.732423553153852,3.870118,243.6573,3.494625
92.80184326714006,84.21035,2.048008383844691,2.219584,87.70875,2.040432
226.54206179383635,210.9866,2.793939291880028,4.088603,212.1882,3.704059
169.8820233310179,163.4447,3.917672483566184,4.003273,168.5898,3.360516
155.64992091982649,155.944,2.900155074632824,4.437478,170.2435,3.993534
265.7290959321633,238.1468,3.869497622706082,3.603841,259.6089,2.96938
240.5125896958729,226.769,4.3025035160100416,3.550927,232.9594,3.038595
191.8430966869741,180.0485,3.4525210918842464,3.083662,185.1793,2.577131
200.61460129403096,172.1409,4.291311089982929,4.021176,191.9362,3.431798
186.7375962838165,170.1306,3.7634717725331255,3.645283,185.7562,2.943467
278.2127701090523,264.2532,2.5043041832517274,5.211277,285.9109,4.4893
130.4922303304367,128.1884,2.6900616382943663,2.663709,129.9636,2.409594
142.87251896240278,143.5601,2.617715731359991,3.074411,148.6252,2.583979
107.99982438523826,107.974,1.5930828749227193,3.543289,108.6791,3.323481
105.05807489370684,109.4432,2.5578517928926656,3.394252,101.6541,3.20922
89.95256065961398,89.90961,2.3245713229195526,4.342339,96.37009,3.827929
146.342632215807,146.688,2.990315580517892,3.657759,143.6987,3.193549
171.58787200055045,180.2329,3.463244458551404,4.662465,188.3772,4.130392
216.70126642710545,211.7727,2.8036519833047424,2.802553,220.8903,2.552743
216.25030072287228,212.0976,3.70953217333854,4.889241,225.9928,4.522562
137.97524367253084,130.6938,3.1627018768279203,3.321454,144.3312,2.982733
176.59471616360074,173.2587,3.041059294564437,4.028629,181.7141,3.623535
158.96271912420852,152.4919,3.65836320119477,3.64538,161.9989,3.300008
195.7109314240095,184.5124,3.380619442505961,3.16449,186.608,2.751663
78.62256118014609,71.65811,2.111070198055953,3.934269,74.66491,3.665174
291.50329762479305,268.8111,5.487958267361102,4.519193,285.7894,3.808804
113.5031153738132,110.205,2.508140667171825,3.252278,113.1758,3.013461
207.91039649465748,207.8371,4.429251381585742,4.553602,220.4014,4.033549
97.70006124266384,101.8221,2.024681245411595,4.310629,90.21291,3.951448
165.16789053323163,151.2569,3.1605230115996976,3.035815,165.0146,2.658459
132.15795563708974,135.4099,1.7615628064077862,3.365914,132.7183,3.147583
59.0843102632192,73.33923,1.7515940695783527,3.491021,55.2928,3.327593
299.5915489220947,262.9535,4.904342352495322,4.299138,275.6025,3.464631
189.5736224865265,173.1618,3.4408978476203527,3.960038,191.2034,3.414226
92.83581611888016,105.9231,2.3115212119719404,3.881975,109.6642,3.552719
289.3443588870222,265.6777,5.695831879437827,5.392113,281.6266,4.778406
151.482401273246,136.7274,1.7625010158150696,3.841786,146.4334,3.405816
176.4815523278764,178.2868,3.422811222219789,3.561624,177.7479,3.122981
211.87653330994465,198.3601,5.056427716106983,3.095322,210.9347,2.771662
67.85867451272622,64.4521,2.081118413845464,4.232183,65.33107,3.898728
183.29360770133465,165.7044,3.782301512118672,3.888748,178.4442,3.296892
177.41458809987756,179.1312,3.710507858533811,3.115997,186.6997,2.735178
123.04400207593127,122.6467,3.0307293263550488,3.352006,127.9754,2.841059
224.68174247438287,206.1968,4.535283557849884,2.886581,221.1177,2.518336
193.03949130141453,183.1171,4.8603243320395615,4.536867,199.2905,4.154071
133.77105812714606,127.6168,3.681712706068817,3.193651,125.7454,2.863784
119.55081490106224,119.689,3.122592252912113,3.854845,119.073,3.438326
108.1093786415122,110.0812,2.828041009616745,2.872501,113.7032,2.59128
139.1858849292227,131.4749,3.619909906605749,3.232066,145.2524,2.963372
84.47564713212071,75.26656,2.3603851465974723,3.052147,77.59376,2.625683
159.24781527562948,145.9651,3.7171879575505695,3.387575,155.547,2.8345
260.3946570358418,250.4595,4.852498040500196,4.771509,269.0873,4.109704
114.17439710541944,124.8984,2.6421128098845506,2.792943,122.6114,2.386572
168.23842334671207,164.2844,3.354141177617225,3.764232,175.5095,3.10311
139.6407625793326,141.7531,3.458886432869893,3.640027,147.2169,3.246137
