targetid,ra_1,dec_1,ppxf_sigma,ppxf_sigma_error,DER_SNR,snr_ppxf,objid_2,ra_2,dec_2,h_alpha_eqw,sigmaStars,sigmaStarsErr,veldisp,veldispErr
39628417112478213,192.260476663904,26.8931119632851,138.97191401554343,1.3838325204676758,50.32823792570804,37.09863394208711,1237667322722975777,192.260475279514,26.8931297203731,-0.2760665,131.1962,2.44662,123.3125,2.796156
39627769709071900,184.913600176456,-0.750861289839534,149.06290730230126,1.5418310753942701,55.5336755421147,33.891261093397205,1237654669214023822,184.91361151161,-0.750832421412642,-0.2517971,133.2321,3.595464,129.3472,3.885587
39628422523128777,193.922076429039,27.2507625946949,270.979717906654,1.6678398325066528,76.53831117514214,31.694018142007554,1237667323260502019,193.922068404893,27.2507651298822,-0.2564157,249.9983,3.095356,251.3085,3.608889
39628438608283113,194.221419596724,27.929491498853,201.42881498440474,1.7040928354747942,59.10875760117723,30.380667083468797,1237667444048396324,194.221407959797,27.9294970525839,-0.2835229,203.6375,3.266631,186.167,3.728426
39632940354767051,155.78760290658,32.9075178217556,189.8262316355282,2.43850249975406,39.99881528028926,29.214918688463683,1237664877807730696,155.787605544879,32.907530030782,-0.3022438,198.6001,4.244899,180.251,4.895857
39633207917808010,163.673104469107,47.4519251725002,94.95865632925293,1.17384156106714,36.717823903060044,28.963642686182993,1237658203968438295,163.673085953852,47.4519448551025,-0.1562192,98.58618,2.877252,95.16629,3.264127
39633259562270883,170.166472336102,50.8272568577073,300.73348887123257,2.025945605362457,74.0034360686763,28.773297095113797,1237657628451405840,170.166462635478,50.8272892216803,-1.637892,282.3811,4.418844,259.435,4.771413
39633076141163860,121.505853190744,39.9646191999796,186.68325604419243,1.9510534854103,55.41576752775679,28.5843975865995,1237653587407798408,121.505865564726,39.9646427602289,-0.4356031,192.7838,4.209323,178.691,4.711245
39628443939243735,193.999798015234,28.1869350114414,150.80153082664046,1.9628312286902159,45.228387337705065,28.515099487030064,1237667324334243849,193.999778775217,28.1869473587921,-0.2806812,158.1496,3.377737,144.7708,3.876744
39628438604091708,194.124215237447,27.9399899251027,206.586169459352,2.1787781594543416,49.19858113214233,28.484963695397184,1237667444048330864,194.124219418222,27.9400025531362,-0.1896144,204.009,2.771846,183.7329,3.183155
39628527020015848,156.404690408933,32.1282446503548,179.6489200775255,2.40976579069134,37.849744387806695,28.285424338841,1237665129070330015,156.404689011241,32.1282655896838,-0.4816094,176.5698,4.872259,168.0166,5.598728
39628422497963985,192.286821477322,27.3687473770849,169.28671017726927,1.9319252264013866,43.583630782770776,28.185122406192747,1237667323259846710,192.286823926944,27.3687657959789,-0.4615301,166.4137,2.27772,155.1017,2.51716
39633009904714113,148.679963104934,36.6068613345669,180.4763019748921,2.1088623571866085,39.3994530515691,27.881359234190928,1237661383310508082,148.679953367847,36.6068546898805,-0.4680302,191.7929,4.032908,181.3842,4.578179
39628057635458018,156.983378984711,11.245736879688,191.31296963096713,1.9744411988882966,49.193145806519674,27.645283621604243,1237660670355636291,156.983377249137,11.24574207848,-0.2466244,201.8907,3.079897,195.6804,3.574422
39627769679713314,183.21095077874,-0.836998655550516,96.38827884369687,1.4934336492510691,36.28779715365928,27.371504764072565,1237654669213237275,183.21094953268,-0.836992165019051,-0.0666507,101.1952,2.554357,103.2588,2.766157
39628443956022818,195.217035014412,28.3661206077708,182.04248146161186,1.9138663602734913,40.114182229332975,27.37054978477361,1237667444585595093,195.217014286296,28.366127457516,-0.40812,178.807,2.980966,173.1174,3.461317
39627842731901888,217.294406647189,2.28697576823543,178.73010993075337,2.79608865395674,39.54466944484292,27.23852313912268,1237651754026664021,217.294382397973,2.2870061345842,-1.538966,186.948,3.837109,174.1855,4.355883
39628422493768568,191.980471549035,27.2223332808157,230.20066445531353,1.8740903452320854,51.63188787745414,26.97572843192511,1237667442973802517,191.980472358093,27.2223461961492,-0.3711923,235.1021,2.56047,225.4049,3.010025
39628411752156938,194.757614871513,26.8156604213936,230.25553071620615,3.0758527015529324,38.141929110459365,26.653627735049053,1237667322723958800,194.757609407454,26.8156555962202,-1.426571,227.2749,3.435669,214.6877,4.094929
39628438595703001,193.541601201655,28.0924882225496,170.23876998439042,2.59240753971842,33.434347963031264,26.348711911496334,1237667324334047310,193.541595078989,28.0925037373962,-0.2885356,170.2182,2.555097,156.7187,2.849426
39628433256350471,193.865842127522,27.6561260784053,164.3289867050221,2.5110174852969944,37.65412937276069,26.15720795423558,1237667323797307576,193.86580384848,27.656121565351,-0.3595795,174.7744,2.770874,159.6352,3.193091
39628427900225097,194.142477567841,27.5389651807666,164.7846069412232,2.0670144353227333,39.0015252559237,26.155518357255946,1237667443511525379,194.142438342425,27.5389547717013,-0.2400213,170.4869,2.474648,160.9036,2.791091
